的	〔白勹丶-·-rqyy〕
儯	〔亻大-·-wudc〕
儰	〔亻-·-waeo〕
儱	〔亻⺝-·-wued〕
儲	〔亻土日-·-wyfj〕
儳	〔亻口丶-·-wqky〕
儴	〔亻口-·-wyke〕
儵	〔亻丨-·-whto〕
儶	〔亻山亻口-·-wmwk〕
儷	〔亻一冂-·-wgmx〕
儸	〔亻-·-wlxy〕
儹	〔亻土-·-wtfm〕
儺	〔亻口-·-waky〕
儻	〔亻-·-wipo〕
儼	〔亻口口-·-wkkt〕
儽	〔亻-·-wlli〕
儾	〔亻一口-·-wgke〕
兂	〔-·-aqv〕
兇	〔-·-qbqb〕
兊	〔厶-·-wcqb〕
兌	〔口-·-wkqb〕
兎	〔口丶-·-tkqy〕
兏	〔⺊-·-dhqv〕
児	〔丨日-·-hjqb〕
兒	〔-·-vqb〕
兓	〔-·-aqaq〕
兗	〔口-·-ukqb〕
兘	〔厶口-·-fqck〕
兙	〔-·-dqfk〕
兛	〔-·-dqtf〕
兝	〔-·-dqwv〕
兞	〔-·-dqtn〕
兟	〔土-·-tfqq〕
兠	〔白-·-urxq〕
兡	〔日-·-dqdj〕
兣	〔土-·-dqdf〕
兤	〔-·-iqyw〕
兦	〔-·-tynv〕
內	〔冂-·-mtyi〕
兩	〔一冂丨-·-gmhy〕
兪	〔人一⺝-·-wgeb〕
兯	〔-·-ubj〕
兲	〔王-·-gwu〕
兺	〔口-·-wvkx〕
兾	〔-·-ulaw〕
兿	〔厶-·-urvc〕
冃	〔冂-·-mfd〕
冄	〔冂-·-mfd〕
円	〔冂丨一-·-mhgd〕
冇	〔𠂇冂-·-dmb〕
冊	〔冂-·-mak〕
冋	〔冂口-·-mkd〕
冎	〔冂-·-mnmb〕
冏	〔冂口-·-mwkd〕
冐	〔⺝-·-jef〕
冑	〔冂-·-mmff〕
冓	〔一土-·-fjgf〕
冔	〔口一-·-jkgf〕
冘	〔-·-pqv〕
冚	〔山-·-pmj〕
冝	〔一-·-pegf〕
冞	〔米-·-pou〕
冟	〔白-·-prxb〕
冡	〔一-·-pgeu〕
冣	〔-·-pbcu〕
冦	〔-·-pfqc〕
冧	〔-·-pssu〕
冨	〔一口-·-pgkl〕
冩	〔勹-·-pvqo〕
冪	〔日丨-·-pajh〕
冭	〔大-·-duu〕
冮	〔-·-uag〕
冴	〔-·-uaht〕
冸	〔-·-uufh〕
冹	〔-·-udcy〕
冺	〔-·-unan〕
冾	〔人一口-·-uwgk〕
冿	〔丨-·-uvfh〕
凁	〔一口-·-ugki〕
凂	〔口-·-uqkq〕
凃	〔人-·-uwty〕
凅	〔囗-·-uldg〕
凈	〔-·-uevh〕
凊	〔⺝-·-ugeg〕
凍	〔一日-·-ugji〕
凎	〔-·-uqg〕
凐	〔覀土-·-usfg〕
凒	〔山一-·-umgu〕
凓	〔覀-·-ussy〕
凔	〔人丶口-·-uwyk〕
凕	〔日-·-upju〕
凖	〔亻-·-uwyf〕
凗	〔山亻-·-umwy〕
凘	〔-·-uadr〕
凙	〔土-·-ulff〕
凚	〔-·-ussi〕
凜	〔囗禾-·-uylt〕
凞	〔-·-utao〕
凟	〔-·-uflm〕
凢	〔-·-tmv〕
凣	〔丨-·-hmv〕
凥	〔-·-nmv〕
処	〔-·-tmv〕
凧	〔冂丨-·-mmhk〕
凨	〔厶-·-mfci〕
凩	〔-·-msi〕
凪	〔-·-mhd〕
凬	〔一日-·-mgjd〕
凮	〔日-·-mdjd〕
凱	〔山一口-·-mgkm〕
凲	〔-·-muvo〕
凴	〔-·-ucmb〕
凷	〔土-·-fbk〕
凾	〔口-·-bkcb〕
刄	〔-·-vyi〕
刅	〔-·-vwi〕
刉	〔刂-·-tnjh〕
刋	〔𠂇刂-·-tdjh〕
刌	〔寸刂-·-fjh〕
刏	〔刂-·-rnjh〕
刐	〔刂-·-myjh〕
刓	〔刂-·-fqjh〕
刔	〔人刂-·-nwjh〕
刕	〔-·-vvvb〕
刜	〔刂-·-xjjh〕
刞	〔刂-·-egjh〕
刟	〔口刂-·-vkjh〕
刡	〔刂-·-najh〕
刢	〔人丶刂-·-wycj〕
刣	〔厶口刂-·-ckjh〕
別	〔口勹刂-·-kqjh〕
刦	〔土厶刂-·-fcjh〕
刧	〔土厶-·-fcvn〕
刪	〔冂刂-·-majh〕
刬	〔刂-·-gjh〕
刯	〔一日刂-·-gjgj〕
刱	〔-·-fjvw〕
刲	〔土土刂-·-ffjh〕
刴	〔刂-·-esjh〕
刵	〔刂-·-bjh〕
刼	〔土厶丶-·-fcvy〕
刾	〔一人刂-·-guwj〕
剄	〔一刂-·-gvaj〕
剅	〔一口刂-·-gkuj〕
剆	〔丶刂-·-yvcj〕
則	〔刂-·-mjh〕
剈	〔口⺝刂-·-kejh〕
剉	〔人人土刂-·-wwfj〕
剋	〔刂-·-dqjk〕
剎	〔丶刂-·-qsyj〕
剏	〔丶-·-uavy〕
剒	〔日刂-·-ajjh〕
剓	〔禾勹-·-tqtv〕
剕	〔刂-·-djdj〕
剗	〔刂-·-aajh〕
剘	〔刂-·-adwj〕
剙	〔-·-uavw〕
剚	〔一口刂-·-gkvj〕
剛	〔冂山刂-·-mumj〕
剝	〔一刂-·-xgij〕
剟	〔刂-·-cccj〕
剠	〔刂-·-yijh〕
剢	〔丶刂-·-eyjh〕
剣	〔人一口刂-·-wgkj〕
剤	〔文刂-·-yjfj〕
剦	〔大日刂-·-djnj〕
剨	〔丨刂-·-dhdj〕
剫	〔刂-·-yacj〕
剬	〔山冂刂-·-mdmj〕
剭	〔一厶刂-·-ngcj〕
剮	〔冂刂-·-mnmj〕
剰	〔一刂-·-tgaj〕
剱	〔人一口丶-·-wgky〕
剳	〔人一刂-·-awgj〕
剴	〔山一口刂-·-mgkj〕
創	〔人丶刂-·-wyvj〕
剶	〔刂-·-xejh〕
剷	〔刂-·-uttj〕
剸	〔一日丨刂-·-gjhj〕
剹	〔人刂-·-nwej〕
剺	〔-·-fitv〕
剻	〔山刂-·-meej〕
剼	〔厶厶厶刂-·-cccj〕
剾	〔口口刂-·-akkj〕
劀	〔刂-·-cbtj〕
劃	〔土刂-·-vflj〕
劄	〔人一刂-·-twgj〕
劅	〔勹刂-·-lqjj〕
劆	〔刂-·-yuvj〕
劇	〔刂-·-haej〕
劉	〔丶刂-·-qyvj〕
劊	〔人一刂-·-wglj〕
劋	〔口口口刂-·-kkkj〕
劌	〔一刂-·-hdgj〕
劍	〔人一口刂-·-wgkj〕
劎	〔人一口-·-wgkv〕
劏	〔口刂-·-ipkj〕
劑	〔刂-·-yvuj〕
劒	〔人一口丶-·-wgky〕
劔	〔人一口-·-wgky〕
劕	〔刂-·-rrmj〕
劖	〔口刂-·-qkxj〕
劗	〔土刂-·-tfqj〕
劘	〔刂-·-yssj〕
劙	〔刂-·-xejj〕
劚	〔刂-·-nilj〕
劜	〔力-·-lnn〕
劤	〔力-·-rln〕
劥	〔力-·-ymln〕
劦	〔力力力-·-lllb〕
劧	〔力-·-rln〕
劮	〔人力-·-rwln〕
劯	〔力-·-dln〕
劰	〔白力-·-rln〕
労	〔力-·-iplb〕
劵	〔大力-·-udlb〕
劶	〔一口力-·-rgkl〕
劷	〔力-·-udln〕
劸	〔土土力-·-ffln〕
効	〔力-·-uqln〕
劺	〔厶丨力-·-crhl〕
劻	〔王力-·-agln〕
劼	〔口力-·-fkln〕
劽	〔一刂力-·-gqjl〕
勀	〔力-·-dqln〕
勁	〔一力-·-gval〕
勂	〔土口力-·-tfkl〕
勄	〔一力-·-txgl〕
勅	〔一口力-·-gkil〕
勆	〔丶力-·-yvcl〕
勈	〔力-·-celn〕
勊	〔力-·-dqlv〕
勌	〔大力-·-udbl〕
勍	〔力-·-yiln〕
勎	〔土土力-·-fwfl〕
勏	〔口力-·-ukln〕
勑	〔人人力-·-swwl〕
勓	〔白力-·-xxrl〕
勔	〔冂力-·-dmjl〕
動	〔一日力-·-tgjl〕
勗	〔日力-·-jegl〕
務	〔力-·-cbtl〕
勚	〔贝力-·-anml〕
勛	〔口力-·-kmln〕
勜	〔厶力-·-wcnl〕
勝	〔大力-·-eudl〕
勞	〔力-·-oopl〕
勠	〔人力-·-nwel〕
勡	〔覀力-·-sfil〕
勢	〔土土力-·-fwfl〕
勣	〔力-·-gmln〕
勥	〔口力-·-xkjl〕
勦	〔日力-·-vjsl〕
勧	〔亻力-·-rwyl〕
勨	〔力-·-qjel〕
勩	〔力-·-anml〕
勪	〔大口力-·-tdkl〕
勫	〔米力-·-toll〕
勬	〔大力-·-udxl〕
勭	〔日土力-·-ujfl〕
勮	〔力-·-hael〕
勯	〔囗口力-·-ylkl〕
勱	〔日冂力-·-ajml〕
勲	〔一日-·-tgjo〕
勳	〔一力-·-tgll〕
勴	〔力-·-hall〕
勵	〔日力-·-dajl〕
勶	〔厶力-·-tycl〕
勷	〔口口力-·-ykkl〕
勸	〔口口力-·-akkl〕
勻	〔勹-·-qfd〕
勼	〔勹-·-qvv〕
勽	〔勹人-·-qwi〕
匁	〔勹-·-qqi〕
匂	〔勹-·-qxv〕
匃	〔勹人-·-qwnv〕
匄	〔勹-·-qynv〕
匇	〔勹-·-qqi〕
匉	〔勹一丨-·-qguh〕
匊	〔勹米-·-qoi〕
匋	〔勹山-·-qrmk〕
匌	〔勹人一口-·-qwgk〕
匎	〔勹大日-·-qdjn〕
匑	〔勹-·-qtmx〕
匒	〔勹人口-·-qawk〕
匓	〔勹-·-qvcc〕
匔	〔勹口-·-qtmk〕
匘	〔-·-xvtq〕
匛	〔-·-aqyi〕
匜	〔也-·-abv〕
匞	〔-·-aad〕
匟	〔-·-aymv〕
匢	〔勹-·-aqre〕
匤	〔王丶-·-agyi〕
匥	〔厶-·-acak〕
匧	〔大人人-·-adww〕
匨	〔丨-·-anhf〕
匩	〔丨王-·-abhg〕
匫	〔勹日-·-aqrj〕
匬	〔人一刂-·-awgj〕
匭	〔-·-alvv〕
匯	〔亻-·-aiwy〕
匰	〔口口-·-akkf〕
匱	〔口丨-·-akhm〕
匲	〔大口口-·-adkk〕
匳	〔人一人-·-awgw〕
匴	〔-·-atha〕
匵	〔-·-aflm〕
匶	〔亻-·-aawv〕
匷	〔-·-ahhy〕
匸	〔一-·-agn〕
匼	〔人一口-·-awgk〕
匽	〔日女-·-ajvd〕
區	〔口口口-·-akkk〕
卂	〔-·-nfk〕
卄	〔一丨丨-·-aghh〕
卆	〔-·-vfj〕
卋	〔-·-faf〕
卌	〔一-·-glk〕
卍	〔丨一丨-·-nhgh〕
卐	〔一丨一-·-nghg〕
協	〔力力力-·-flll〕
単	〔日-·-ijfj〕
卙	〔-·-adwf〕
卛	〔-·-xyxf〕
卝	〔一一-·-gjgd〕
卥	〔囗丶-·-hlry〕
卨	〔口-·-hmnk〕
卪	〔丶-·-byi〕
卬	〔-·-qbh〕
卭	〔-·-abh〕
卲	〔口-·-vkbh〕
卶	〔-·-qqbh〕
卹	〔-·-tlbh〕
卻	〔人口-·-wwkb〕
卼	〔一-·-gqqb〕
卽	〔白-·-rxbh〕
卾	〔口口-·-kkfb〕
厀	〔人-·-swib〕
厁	〔人-·-wtub〕
厃	〔-·-qdr〕
厇	〔-·-dtav〕
厈	〔-·-dfk〕
厊	〔-·-daht〕
厎	〔丶-·-dqay〕
厏	〔丨-·-dthf〕
厐	〔-·-ddxv〕
厑	〔口-·-dkxv〕
厒	〔山-·-drmk〕
厓	〔土土-·-dffd〕
厔	〔一厶土-·-dgcf〕
厖	〔-·-ddne〕
厗	〔-·-duk〕
厙	〔-·-dlk〕
厛	〔口-·-dkrk〕
厜	〔一-·-dtgf〕
厞	〔-·-ddjd〕
厠	〔刂-·-dmjk〕
厡	〔白-·-drii〕
厤	〔禾禾-·-dtti〕
厧	〔-·-dfhw〕
厪	〔口-·-dakg〕
厫	〔-·-dgqt〕
厬	〔日口-·-djtk〕
厭	〔日⺝-·-djed〕
厯	〔-·-dssn〕
厰	〔冂-·-dimt〕
厱	〔人一人-·-dwgw〕
厲	〔日丶-·-dajy〕
厳	〔-·-idnt〕
厴	〔日⺝-·-djel〕
厵	〔白-·-drii〕
厷	〔𠂇厶-·-dcu〕
厸	〔厶厶-·-ccy〕
厹	〔厶-·-vcu〕
厺	〔大厶-·-dcu〕
厼	〔厶-·-ciu〕
厽	〔厶厶厶-·-cccu〕
厾	〔土厶-·-nfci〕
叀	〔一厶-·-gmcu〕
參	〔厶厶厶-·-ccce〕
叄	〔厶厶厶-·-cccd〕
叅	〔厶厶厶-·-cccn〕
叆	〔厶-·-fcec〕
叇	〔厶辶-·-fcvp〕
収	〔𠄌丨-·-nhcy〕
叏	〔丨-·-nhcu〕
叐	〔𠂇-·-tdcu〕
叒	〔-·-cccu〕
叓	〔一口丨-·-gkhc〕
叕	〔-·-cccc〕
叚	〔丨-·-nhfc〕
叜	〔-·-pocu〕
叝	〔土厶-·-fcbc〕
叞	〔-·-nfic〕
叡	〔一-·-hpgc〕
叢	〔一-·-oguc〕
叧	〔口-·-kvb〕
叴	〔口-·-vkf〕
叺	〔口-·-ktyy〕
叾	〔口-·-bkf〕
叿	〔口-·-kag〕
吀	〔口-·-ktfh〕
吂	〔口-·-ynkf〕
吅	〔口口-·-kkg〕
吇	〔口-·-kbg〕
吋	〔口寸-·-kfy〕
吔	〔口也-·-kbn〕
吘	〔口-·-ktfh〕
吙	〔口-·-koy〕
吚	〔口-·-kvtt〕
吜	〔口土-·-knfg〕
吢	〔口-·-nkf〕
吤	〔口人-·-kwjh〕
吥	〔口一-·-kgiy〕
吪	〔口亻-·-kwxn〕
吰	〔口𠂇厶-·-kdcy〕
吳	〔口大-·-kndu〕
吶	〔口冂-·-kmty〕
吷	〔口人-·-knwy〕
吺	〔口-·-kmcy〕
吽	〔口丨-·-krhh〕
吿	〔丨口-·-rhkf〕
呁	〔口勹-·-kqug〕
呂	〔口口-·-ktkf〕
呄	〔-·-edf〕
呅	〔口文-·-kyy〕
呇	〔口-·-ikf〕
呉	〔口一-·-kngw〕
呌	〔口-·-kufh〕
呍	〔口厶-·-kfcy〕
呎	〔口-·-knyy〕
呏	〔口-·-ktah〕
呑	〔大口-·-tdkf〕
呚	〔口-·-kty〕
呝	〔口丶-·-kynn〕
呞	〔口一口-·-kngk〕
呟	〔口-·-kyxy〕
呠	〔口一-·-ksgg〕
呡	〔口-·-knan〕
呣	〔口一-·-kxgu〕
呥	〔口冂土-·-kmfg〕
呧	〔口丶-·-kqay〕
呩	〔口-·-kfiy〕
呪	〔口口-·-kkqn〕
呫	〔口口-·-khkg〕
呬	〔口-·-klg〕
呭	〔口-·-kann〕
呮	〔口口-·-kkwy〕
呯	〔口一丨-·-kguh〕
呰	〔口-·-hxkf〕
呴	〔口勹口-·-kqkg〕
呹	〔口人-·-krwy〕
呺	〔口口一-·-kkgn〕
呾	〔口日一-·-kjgg〕
呿	〔口土厶-·-kfcy〕
咁	〔口-·-kafg〕
咃	〔口亻也-·-kwbn〕
咅	〔口-·-ukf〕
咇	〔口-·-kntt〕
咈	〔口-·-kxjh〕
咉	〔口大-·-kmdy〕
咊	〔口禾-·-kty〕
咍	〔口厶口-·-kckg〕
咑	〔口-·-krsh〕
咓	〔口一𠄌-·-kgnn〕
咗	〔口𠂇-·-kdag〕
咘	〔口𠂇冂丨-·-kdmh〕
咜	〔口-·-kpxn〕
咞	〔口一-·-kgah〕
咟	〔口日-·-kdjg〕
咠	〔口-·-kbf〕
咡	〔口-·-kbg〕
咢	〔口口-·-kkfn〕
咥	〔口一厶土-·-kgcf〕
咮	〔口-·-kriy〕
咰	〔口勹日-·-kqjg〕
咲	〔口大-·-kudy〕
咵	〔口大-·-kdfn〕
咶	〔口-·-ktdg〕
咷	〔口-·-kiqn〕
咹	〔口女-·-kpvg〕
咺	〔口一日一-·-kgjg〕
咼	〔冂口-·-mnmk〕
咾	〔口土-·-kftx〕
哃	〔口冂一口-·-kmgk〕
哅	〔口勹-·-kqqb〕
哊	〔口𠂇⺝-·-kdeg〕
哋	〔口土也-·-kfbn〕
哖	〔口丨-·-krhf〕
哘	〔口-·-ktfh〕
哛	〔口-·-kxwv〕
哠	〔口土口-·-ktfk〕
員	〔口-·-kmu〕
哢	〔口王-·-kgah〕
哣	〔口一口-·-kgku〕
哤	〔口-·-kdne〕
哫	〔口口龰-·-kkhy〕
哬	〔口亻口-·-kwsk〕
哯	〔口-·-khqn〕
哰	〔口丨-·-kprh〕
哱	〔口-·-kfpb〕
哴	〔口丶-·-kyve〕
哵	〔口口力刂-·-kklj〕
哶	〔口一-·-kgjf〕
哷	〔口寸-·-kefy〕
哸	〔口女-·-kevg〕
哹	〔口-·-kebg〕
哻	〔口日-·-kjfh〕
哾	〔口口-·-kukq〕
唀	〔口禾-·-kten〕
唂	〔口人口-·-kwwk〕
唃	〔口-·-kqeh〕
唄	〔口-·-kmy〕
唅	〔口人丶口-·-kwyk〕
唈	〔口口-·-kkcn〕
唊	〔口大人人-·-kdww〕
唋	〔口人-·-kwty〕
唌	〔口-·-kthp〕
唍	〔口-·-kpfq〕
唎	〔口禾刂-·-ktjh〕
唒	〔口一-·-ksgg〕
唓	〔口-·-klh〕
唕	〔口白-·-krfh〕
唖	〔口一口一-·-kgkg〕
唗	〔口土龰-·-kfhy〕
唘	〔口-·-dckf〕
唙	〔口-·-kqto〕
唚	〔口-·-kvpc〕
唜	〔一口-·-gskx〕
唝	〔口贝-·-kamy〕
唞	〔口-·-kruf〕
唟	〔土厶口-·-fckx〕
唡	〔口一冂人-·-kgmw〕
唥	〔口人-·-kuwc〕
唦	〔口-·-kiit〕
唨	〔口一-·-kbeg〕
唩	〔口禾女-·-ktvg〕
唫	〔口-·-kqg〕
唭	〔口-·-kadw〕
唲	〔口-·-kvqn〕
唴	〔口-·-kudn〕
唵	〔口大日-·-kdjn〕
唶	〔口日-·-kajg〕
唸	〔口人丶-·-kwyn〕
唹	〔口人-·-kywu〕
唺	〔口-·-kmaw〕
唻	〔口人人-·-ksww〕
唽	〔口-·-ksrh〕
啀	〔口土土-·-kdff〕
啂	〔口-·-kebn〕
啅	〔口-·-khjh〕
啇	〔冂-·-umdf〕
啈	〔口土-·-kfuf〕
啋	〔口-·-kesy〕
啌	〔口-·-kpwa〕
啍	〔口-·-kybg〕
啎	〔五口-·-tfgk〕
問	〔口-·-ukd〕
啑	〔口一龰-·-kgvh〕
啒	〔口山-·-knbm〕
啓	〔丶口-·-yntk〕
啔	〔丶口-·-ynak〕
啗	〔口-·-kqvg〕
啘	〔口-·-kpqb〕
啙	〔口口-·-hxkk〕
啚	〔口囗口-·-kflk〕
啛	〔口一女-·-kgvv〕
啝	〔口禾口-·-ktkg〕
啞	〔口一丨一-·-kghg〕
啟	〔丶口-·-ynkt〕
啠	〔口-·-rrkf〕
啢	〔口一冂-·-kgmy〕
啣	〔口-·-krhb〕
啨	〔口⺝-·-kgeg〕
啩	〔口土土-·-kffh〕
啫	〔口土日-·-kftj〕
啯	〔口囗王丶-·-klgy〕
啰	〔口-·-klqy〕
啱	〔口山-·-kmdg〕
啲	〔口白勹丶-·-krqy〕
啳	〔口大-·-kudb〕
啴	〔口日-·-kujf〕
啹	〔口-·-kndg〕
啺	〔口日一-·-kjgr〕
啽	〔口人一-·-kwga〕
啿	〔口-·-kadn〕
喅	〔口日-·-kjug〕
喆	〔口口-·-fkfk〕
喌	〔口口丶丨-·-kkyh〕
喍	〔口-·-khxs〕
喎	〔口口-·-kmnk〕
喐	〔口𠂇⺝-·-kdeb〕
喒	〔口日-·-kthj〕
喓	〔口覀女-·-ksvg〕
喕	〔口冂-·-kdmd〕
喖	〔口-·-ksdg〕
喗	〔口-·-kplh〕
喚	〔口大-·-kqmd〕
喛	〔口-·-kefc〕
喞	〔口白-·-krxb〕
喠	〔口一土-·-ktgf〕
喡	〔口丨丨-·-knhh〕
喢	〔口-·-ktfv〕
喣	〔口勹口-·-kqko〕
喤	〔口白王-·-krgg〕
喥	〔口-·-kyac〕
喦	〔口口口山-·-kkkm〕
喨	〔口-·-kypm〕
喩	〔口人一-·-kwgb〕
喪	〔土口口-·-fkke〕
喫	〔口丨大-·-kdhd〕
喬	〔大口口-·-tdkk〕
喭	〔口-·-kute〕
單	〔口口日-·-kkjf〕
喯	〔口大-·-kdfa〕
喰	〔口人丶-·-kwye〕
喲	〔口勹丶-·-kxqy〕
喴	〔口一-·-kdgt〕
営	〔口口-·-ipkk〕
喸	〔一⺝丨-·-gehx〕
喺	〔口亻-·-kwti〕
喼	〔口-·-kqvn〕
喿	〔口口口-·-kkks〕
嗀	〔一-·-fpgc〕
嗁	〔口-·-krhm〕
嗂	〔口山-·-kerm〕
嗃	〔口冂口-·-kymk〕
嗆	〔口人丶口-·-kwyk〕
嗇	〔土人人口-·-fwwk〕
嗈	〔口口-·-kvkc〕
嗊	〔口-·-kamy〕
嗋	〔口力力⺝-·-klle〕
嗎	〔口-·-kcy〕
嗏	〔口人-·-kaws〕
嗐	〔口口-·-kpdk〕
嗕	〔口寸-·-kdff〕
嗗	〔口⺝-·-kmeg〕
嗘	〔口大-·-kexd〕
嗙	〔口-·-kupy〕
嗚	〔口亻-·-kwno〕
嗛	〔口-·-kuvo〕
嗞	〔口-·-kuxx〕
嗠	〔口-·-ebtk〕
嗢	〔口日-·-kjlg〕
嗧	〔力口人-·-lkwa〕
嗩	〔口-·-kimy〕
嗭	〔口-·-fhkx〕
嗮	〔口日-·-kjsg〕
嗰	〔口亻囗-·-kwld〕
嗱	〔口人一-·-kwgr〕
嗴	〔口厶-·-kudc〕
嗶	〔口日-·-kjaf〕
嗸	〔口-·-gqtk〕
嗹	〔口辶-·-klpy〕
嗺	〔口山亻-·-kmwy〕
嗻	〔口-·-kyao〕
嗼	〔口日大-·-kajd〕
嗿	〔口人丶-·-kwym〕
嘂	〔口口𠄌口-·-kknk〕
嘃	〔口丨-·-kyvh〕
嘄	〔口亻-·-kwvs〕
嘅	〔口-·-kvcq〕
嘆	〔口口人-·-kakw〕
嘇	〔口厶厶-·-kcce〕
嘊	〔口山土-·-kmdf〕
嘋	〔口土-·-kftt〕
嘍	〔口口一女-·-kkgv〕
嘐	〔口人-·-knwe〕
嘑	〔口-·-khah〕
嘒	〔口丨-·-kdhv〕
嘓	〔口囗-·-klag〕
嘔	〔口口口-·-kakk〕
嘕	〔口一-·-kgho〕
嘖	〔口-·-kgmy〕
嘗	〔口日-·-ipkj〕
嘙	〔口女-·-kihv〕
嘚	〔口日寸-·-ktjf〕
嘜	〔口人-·-kswt〕
嘝	〔口-·-kqef〕
嘠	〔口-·-kdea〕
嘡	〔口土-·-kipf〕
嘢	〔口日土-·-kjfb〕
嘥	〔口龰-·-kthh〕
嘦	〔口覀女-·-kwsv〕
嘨	〔口米-·-kvoj〕
嘩	〔口一-·-kagf〕
嘪	〔口-·-klmy〕
嘫	〔口-·-kqdo〕
嘮	〔口力-·-kool〕
嘯	〔口丨丨-·-kvhh〕
嘰	〔口-·-kxxt〕
嘳	〔口口丨-·-kkhm〕
嘵	〔口土土-·-kffq〕
嘷	〔口-·-kthf〕
嘸	〔口-·-krlo〕
嘺	〔口大口-·-ktdk〕
嘼	〔口口口-·-kklk〕
嘽	〔口口口-·-kkkf〕
嘾	〔口覀-·-ksjh〕
噀	〔口-·-knnw〕
噁	〔口一丨-·-kghn〕
噂	〔口寸-·-kusf〕
噃	〔口米-·-ktol〕
噄	〔口丨-·-kdhi〕
噅	〔口-·-keto〕
噆	〔口日-·-kaqj〕
噇	〔口日土-·-kujf〕
噈	〔口-·-kyin〕
噉	〔口-·-knbt〕
噊	〔口口-·-kcbk〕
噋	〔口-·-kybt〕
噏	〔口人一-·-kwgn〕
噐	〔口口口-·-kkak〕
噑	〔口白-·-krif〕
噒	〔口米丨-·-koqh〕
噓	〔口一-·-khag〕
噕	〔口-·-etnk〕
噖	〔口王王-·-kggn〕
噚	〔口寸-·-kvaf〕
噛	〔口米-·-khob〕
噝	〔口-·-kxxi〕
噞	〔口人一人-·-kwgw〕
噟	〔亻亻口-·-ywwk〕
噠	〔口土辶-·-kfup〕
噡	〔口-·-kqdy〕
噣	〔口勹-·-klqj〕
噥	〔口-·-kmae〕
噦	〔口-·-khdt〕
噧	〔口日丶-·-kajy〕
噭	〔口白-·-kryt〕
噮	〔口一-·-klge〕
噯	〔口-·-kept〕
噰	〔口-·-kyxy〕
噲	〔口人一日-·-kwgj〕
噳	〔口大-·-khad〕
噴	〔口-·-kfam〕
噵	〔口-·-uthk〕
噷	〔口日人-·-kujw〕
噸	〔口一-·-kgbm〕
噹	〔口-·-kipl〕
噺	〔口-·-kusr〕
噽	〔口一-·-fkug〕
噾	〔口日-·-kpwj〕
噿	〔口-·-knyf〕
嚀	〔口-·-kpns〕
嚁	〔口亻-·-knwy〕
嚂	〔口丨-·-kahl〕
嚃	〔口辶-·-klip〕
嚄	〔口亻-·-kawc〕
嚇	〔口土-·-kfoo〕
嚈	〔口日-·-kdjd〕
嚉	〔口一寸-·-kogf〕
嚊	〔口-·-kthj〕
嚋	〔口寸-·-kfnf〕
嚌	〔口-·-kyvf〕
嚍	〔口丨-·-kvhl〕
嚐	〔口日-·-kipj〕
嚑	〔口一-·-ktgo〕
嚒	〔口-·-kysx〕
嚔	〔口龰-·-kfph〕
嚕	〔口日-·-kqoj〕
嚖	〔口丨-·-kdhn〕
嚗	〔口日-·-kjai〕
嚘	〔口-·-kdet〕
嚙	〔口人-·-khwb〕
嚚	〔口口口-·-kkak〕
嚛	〔口白-·-kxrs〕
嚜	〔口土土-·-klff〕
嚝	〔口-·-kyaw〕
嚞	〔口口-·-fkfk〕
嚟	〔口禾勹-·-ktqi〕
嚠	〔口丶刂-·-kqyj〕
嚡	〔口土-·-kaff〕
嚢	〔一口丨-·-gkhe〕
嚤	〔口-·-kysr〕
嚥	〔口-·-kauo〕
嚦	〔口禾-·-kdth〕
嚧	〔口-·-khal〕
嚨	〔口⺝-·-kued〕
嚩	〔口一寸-·-kxgf〕
嚪	〔口-·-kuqv〕
嚫	〔口-·-kusq〕
嚬	〔口-·-khim〕
嚭	〔口口-·-fkuk〕
嚮	〔丶口-·-xtyk〕
嚰	〔口-·-kysd〕
嚱	〔口-·-khaa〕
嚲	〔口-·-ybkf〕
嚳	〔口-·-wfqk〕
嚴	〔口口-·-kkdt〕
嚵	〔口口丶-·-kqky〕
嚶	〔口女-·-kmmv〕
嚸	〔口土口-·-klfk〕
嚹	〔口山-·-krmh〕
嚺	〔口辶-·-klup〕
嚻	〔口口口-·-kkdk〕
嚽	〔口-·-kgqm〕
嚾	〔口口-·-kaky〕
嚿	〔口亻-·-kawv〕
囀	〔口一寸-·-klgf〕
囁	〔口-·-kbbb〕
囂	〔口口口-·-kkdk〕
囃	〔口人-·-kywy〕
囄	〔口文-·-kyby〕
囅	〔口口日-·-kkje〕
囆	〔口日-·-kajj〕
囇	〔口一冂-·-kgmx〕
囈	〔口土厶-·-kafc〕
囉	〔口-·-klxy〕
囋	〔口土-·-ktfm〕
囌	〔口禾-·-kaqt〕
囍	〔口口-·-fkuk〕
囎	〔口日-·-kmuj〕
囏	〔口口-·-akfk〕
囐	〔口-·-khad〕
囑	〔口-·-knij〕
囒	〔口-·-kaui〕
囓	〔口丨-·-kdhb〕
囕	〔口丨-·-kahq〕
囖	〔口-·-ktly〕
囘	〔冂-·-mnv〕
囙	〔囗-·-lnd〕
囜	〔囗厶-·-lci〕
団	〔囗寸-·-lfi〕
囥	〔囗-·-lymv〕
囦	〔囗-·-lii〕
囧	〔囗-·-lwmv〕
囨	〔囗一-·-lgii〕
囩	〔囗厶-·-lfci〕
囪	〔囗-·-tlry〕
囬	〔冂-·-mjdd〕
囮	〔囗亻-·-lwxv〕
囯	〔囗王-·-lgd〕
囲	〔囗-·-lfjk〕
